"","UBR","UBL","UFL","DFR","DFL","DBL","DBR","RUB","RDF","RDB","LUF","LUB","LDB","LDF","FUL","FDL","FDR","BUL","BUR","BDR","BDL",
"UBR","","[R' B' R: U', R D R']","[R F R': R' D' R, U]","[R' D R U' R D' R', U]","[R F': R' U' R, D]","[R' B: D', R U R']","[U', R D' R' U R' D R]","","[R' D' R, U]","[U', R D R']","[R': R' D' R, U']","[R: U, R D R']","[U', R D' R']","[R' D R, U]","[R: U2, R D R']","[D R' D' R, U]","[D' R' D R, U]","[R': R' D' R, U2]","","[U', D R D' R']","[U', D' R D R']",
"UBL","[R' B' R: R D R', U']","","[R' D' R U': U', R' D R]","[U R' D R: U2, R D' R']","[R F' R' U': R D R', U2]","[R' D' R: R U2 R', D]","[R D' R': R' D R, U2]","[U R D' U: R' D' R, U2]","[R' D' R, U2]","[U': R D R', U2]","[F: U2, R' D' R]","","[U': R D' R', U2]","[R' D R, U2]","[R' F R D': U, R D' R']","[D R' D' R, U2]","[D' R' D R, U2]","","[R': U2, D' R' D R]","[D U': R D' R', U2]","[D' U': R D R', U2]",
"UFL","[R F R': U, R' D' R]","[R' D' R U': R' D R, U']","","[R' D R U' R D' R', U']","[U' R F': D, R' U' R]","[R' D' R: R U' R', D]","[R D' R': R' D R, U']","[U' R': U2, R' D' R]","[R' D' R, U']","[U': R D R', U']","","[U' R: R D R', U2]","[U': R D' R', U']","[R' D R, U']","","[D: R' D' R, U']","[D' R' D R, U']","[U' R': U', R' D' R]","[R': U', D' R' D R]","[D': R' D' R, U']","[D: R' D R, U']",
"DFR","[U, R' D R U' R D' R']","[U R' D R: R D' R', U2]","[U', R' D R U' R D' R']","","[U' R' U R: R U' R', D]","[R U' R' U: R D' R', U2]","[R U' R' D R' U R, D']","[U' D' R': U2, R' D R]","","[D' R: F2, R' U R U']","[R U' R': U2, R' D' R]","[U2 R': R' U R, D]","[U2 R': R' U R, D']","[U D R: D' R' D R, U']","[R U' R': U2, D' R' D R]","[R U' R': U2, R' D R]","","[U D R: R U' R', D']","[U R': D', U' R U R']","[D' R: D R' D' R, U]","[U' D' R': U, R' D R]",
"DFL","[R F': D, R' U' R]","[R F' R' U: R D R', U2]","[U' R F': R' U' R, D]","[U' R' U R: D, R U' R']","","[D' R U' R': D', R' U R]","[R U' R': D2, R' U R]","[U' R': U2, R' D R]","[R: D R' D' R, U]","[U' R': U, R' D R]","[U' R': D, U R U' R']","[D' R: U, R D' R']","[D R U' R': U2, R' D R]","","[R U' D: R' D' R, U2]","","[R: F2, R' U R U']","[U' R': U', R' D R]","[U D R' U': D', R U R']","[D' R: U', R D' R']","[U' D' R': U, R' D2 R]",
"DBL","[R' B: R U R', D']","[R' D' R: D, R U2 R']","[R' D' R: D, R U' R']","[R U' R' U': R D' R', U2]","[D' R U' R': R' U R, D']","","[R U' R': D', R' U R]","[U' D R': U2, R' D R]","[R: U', R D' R']","[U' R': U, R' D2 R]","[F R: R D' R', U']","[R: U, R D' R']","","[D R: F2, R' U R U']","[R: U2, R D' R']","[D R: D R' D' R, U]","[R' D' R: D, R U R']","[U' D R': U', R' D R]","[R: D', U' R' U R]","[R D': U' R' U R, D2]","",
"DBR","[R D' R' U R' D R, U']","[R D' R': U2, R' D R]","[R D' R': U', R' D R]","[D', R U' R' D R' U R]","[R U' R': R' U R, D2]","[R U' R': R' U R, D']","","[R': U, R' D R U' R D' R']","[R: R' D R U' R D' R', U]","","[R U' R': R' U R, D]","[D R: U, R D' R']","[R D' R': U, R' D R]","[U R: R U' R', D]","[D R: U2, R D' R']","[D R: U', R D' R']","[U R: D' R' D R, U']","[U R: R U' R', D']","[D R: D', U' R' U R]","","[U R: R U' R', D2]",
"RUB","","[U R U' D': R' D' R, U2]","[U' R': R' D' R, U2]","[U' D' R': R' D R, U2]","[U' R': R' D R, U2]","[U' D R': R' D R, U2]","[R': R' D R U' R D' R', U]","","[R: U', R D' R' U R' D R]","[U R U': R' D' R, U2]","[R U' D' R': R' U R, D]","[R: U, R D' R' U R' D R]","[U R: U2, R D' R']","[U R U': R' D R, U2]","[R': R' D R U' R D' R', U']","[U D' R: U2, R D' R']","[U' R' U': R D R', U2]","[U R: U2, R D R']","","[U D R: U2, R D' R']","[U' R' U': R D' R', U2]",
"RDF","[U, R' D' R]","[U2, R' D' R]","[U', R' D' R]","","[R: U, D R' D' R]","[R: R D' R', U']","[R: U, R' D R U' R D' R']","[R: R D' R' U R' D R, U']","","[R: U, D' R' D R]","[R': U' R U R', D']","[U R' U': R D R', U']","[R U R', D2]","[U R' D': R U' R', D2]","[D' R U': R' D R, U2]","[R U R', D]","","[R': D, R' U R]","[R': U R U' R', D']","[R U R', D']","[U R' D': R U' R', D']",
"RDB","[R D R', U']","[U: R D R', U2]","[U': U', R D R']","[D' R: R' U R U', F2]","[U' R': R' D R, U]","[U' R': R' D2 R, U]","","[U R U: R' D' R, U2]","[R D': R' D R, U]","","[R' U: R' D' R, U2]","[U' R: D', R U' R']","[R D: R' U' R, D2]","[D': U R U' R', D2]","[R U': D' R' D R, U2]","[R D: R' U' R, D]","[D', U R U' R']","[R' U: R' D' R, U]","[U' R: U R' U' R, D]","","[U' R' U' R, D']",
